Title,Genre,Director
Raiders of the Lost Ark,Adventure Action,Steven Spielberg
Home Alone 2: Lost in New York,Comedy Family Adventure Crime,Chris Columbus
Close Encounters of the Third Kind,Science Fiction Drama,Steven Spielberg
Pulse,Horror Thriller,Jim Sonzero
Beverly Hills Cop II,Action Comedy Crime,Tony Scott
Bringing Down the House,Comedy,Adam Shankman
The Silence of the Lambs,Crime Drama Thriller,Jonathan Demme
Wayne's World,Music Comedy,Penelope Spheeris
Jackass 3D,Comedy Documentary Action,Jeff Tremaine
Jaws 2,Horror Thriller,Jeannot Szwarc
Beverly Hills Chihuahua,Adventure Comedy Family,Raja Gosnell
The Conjuring,Horror Thriller,James Wan
Are We There Yet?,Adventure Comedy Family Romance,Brian Levant
Tammy,Comedy,Ben Falcone
School of Rock,Comedy Music,Richard Linklater
Mortal Kombat,Action Fantasy,Paul W.S. Anderson
White Chicks,Comedy,Keenen Ivory Wayans
The Descendants,Comedy Drama,Alexander Payne
Holes,Adventure Family Drama Comedy,Andrew Davis
The Last Song,Drama Family Romance,Julie Anne Robinson
12 Years a Slave,Drama History,Steve McQueen
Drumline,Drama Romance Comedy Music,Charles Stone III
Why Did I Get Married Too?,Comedy Romance,Tyler Perry
Edward Scissorhands,Fantasy Drama Romance,Tim Burton
Me Before You,Drama Romance,Thea Sharrock
Madea's Witness Protection,Drama Comedy Crime,Tyler Perry
The French Connection,Action Crime Thriller,William Friedkin
Bad Moms,Comedy,Jon Lucas
Date Movie,Comedy,Jason Friedberg
Return to Never Land,Adventure Fantasy Animation Family,Robin Budd
Selma,History Drama,Ava DuVernay
The Jungle Book 2,Family Animation Adventure,Steve Trenbirth
Boogeyman,Thriller Horror Drama Mystery,Stephen T. Kay
Premonition,Thriller Drama Mystery,Mennan Yapo
The Tigger Movie,Animation Family,Jun Falkenstein
Orphan,Horror Thriller Mystery,Jaume Collet-Serra
Max,Adventure Drama Family,Boaz Yakin
Epic Movie,Action Adventure Comedy,Jason Friedberg
Spotlight,Drama Thriller History,Tom McCarthy
Lakeview Terrace,Drama Crime Thriller,Neil LaBute
The Grudge 2,Horror Thriller,Takashi Shimizu
How Stella Got Her Groove Back,Comedy Drama Romance,Kevin Rodney Sullivan
Bill & Ted's Bogus Journey,Adventure Comedy Family Fantasy Science Fiction,Peter Hewitt
Man of the Year,Comedy Drama Romance Thriller,Barry Levinson
The Black Hole,Adventure Family Science Fiction Action,Gary Nelson
The American,Crime Drama Thriller,Anton Corbijn
Selena,Drama,Gregory Nava
Vampires Suck,Horror Comedy,Jason Friedberg
Babel,Drama,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
This Is Where I Leave You,Drama Comedy,Shawn Levy
Doubt,Drama Mystery,John Patrick Shanley
Team America: World Police,Music Adventure Animation Action Comedy,Trey Parker
Texas Chainsaw 3D,Horror Thriller,John Luessenhop
Copycat,Drama Thriller,Jon Amiel
Scary Movie 5,Comedy,Malcolm D. Lee
Paint Your Wagon,Drama Action Comedy Western Music,Joshua Logan
Milk,History Drama,Gus Van Sant
Risen,Action,Kevin Reynolds
Ghost Ship,Horror Mystery Thriller,Steve Beck
A Very Harold & Kumar Christmas,Comedy,Todd Strauss-Schulson
Wild Things,Crime Drama Mystery,John McNaughton
The Stepfather,Horror Thriller Mystery,Nelson McCormick
The Debt,Drama Thriller,John Madden
High Fidelity,Comedy Drama Romance Music,Stephen Frears
One Missed Call,Horror Mystery Thriller,Eric Valette
Eye for an Eye,Drama Thriller,John Schlesinger
The Bank Job,Thriller Crime Drama,Roger Donaldson
Eternal Sunshine of the Spotless Mind,Science Fiction Drama Romance,Michel Gondry
You Again,Comedy Romance,Andy Fickman
Street Kings,Action Crime Drama Thriller,David Ayer
The World's End,Comedy Action Science Fiction,Edgar Wright
Nancy Drew,Action Adventure Crime Family Mystery,Andrew Fleming
Daybreakers,Fantasy Horror Action Thriller Science Fiction,Michael Spierig
She's Out of My League,Comedy Romance,Jim Field Smith
Monte Carlo,Adventure Comedy Romance,Thomas Bezucha
Stay Alive,Horror Thriller,William Brent Bell
Quigley Down Under,Romance Action Adventure Western Drama,Simon Wincer
Alpha and Omega,Family Animation,Ben Gluck
The Covenant,Action Adventure Fantasy Horror Science Fiction,Renny Harlin
Stick It,Comedy Drama,Jessica Bendinger
Shorts,Comedy Family,Robert Rodriguez
To Die For,Fantasy Drama Comedy Thriller,Gus Van Sant
Nerve,Mystery Adventure Crime,Henry Joost
Appaloosa,Drama Western Crime,Ed Harris
Vampires,Action Drama Fantasy Horror Thriller,John Carpenter
Psycho,Drama Horror Thriller,Alfred Hitchcock
My Best Friend's Girl,Romance Comedy,Howard Deutch
Endless Love,Drama Romance,Shana Feste
Georgia Rule,Comedy Drama Romance,Garry Marshall
Under the Rainbow,Comedy,Steve Rash
Ladyhawke,Adventure Drama Fantasy Romance,Richard Donner
Simon Birch,Comedy Drama Family,Mark Steven Johnson
Reign Over Me,Drama,Mike Binder
Into the Wild,Adventure Drama,Sean Penn
School for Scoundrels,Comedy Drama Romance,Todd Phillips
Silent Hill: Revelation 3D,Thriller Horror Mystery,Michael J. Bassett
From Dusk Till Dawn,Horror Action Thriller Crime,Robert Rodriguez
Pooh's Heffalump Movie,Animation Family,Frank Nissen
Home for the Holidays,Comedy Drama Romance,Jodie Foster
功夫,Action Comedy Crime Fantasy,Stephen Chow
The Country Bears,Adventure Comedy Family,Peter Hastings
The Kite Runner,Drama,Marc Forster
21 Grams,Drama Crime Thriller,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Paparazzi,Action Drama Thriller,Paul Abascal
A Guy Thing,Comedy Romance,Chris Koch
Loser,Drama Comedy Romance Family,Amy Heckerling
Capitalism: A Love Story,Documentary,Michael Moore
The Greatest Story Ever Told,Drama History,George Stevens
Secret in Their Eyes,Crime Drama Mystery,Billy Ray
Disaster Movie,Action Comedy,Jason Friedberg
Armored,Action Crime Drama Thriller,Nimr\u00f3d Antal
The Man Who Knew Too Little,Comedy Thriller Crime Action,Jon Amiel
What's Your Number?,Comedy Romance,Mark Mylod
Lockout,Action Thriller Science Fiction,Stephen St. Leger
Envy,Comedy,Barry Levinson
Crank: High Voltage,Action Thriller Crime,Brian Taylor
Bullets Over Broadway,Action Comedy Thriller,Woody Allen
One Night with the King,Drama,Michael O. Sajbel
The Quiet American,Drama Action Thriller Romance,Phillip Noyce
The Weather Man,Comedy Drama,Gore Verbinski
Undisputed,Action Adventure Drama Thriller,Walter Hill
Ghost Town,Comedy Fantasy Romance,David Koepp
12 Rounds,Action Adventure Drama Thriller,Renny Harlin
Let Me In,Drama Horror Mystery,Matt Reeves
3 Ninjas Kick Back,Adventure Action Comedy Family,Charles T. Kanganis
Be Kind Rewind,Drama Comedy,Michel Gondry
Mrs Henderson Presents,Comedy Drama,Stephen Frears
Triple 9,Action Thriller,John Hillcoat
Deconstructing Harry,Comedy Drama,Woody Allen
Three to Tango,Comedy Romance,Damon Santostefano
Burnt,Drama,John Wells
We're No Angels,Comedy Crime Drama,Neil Jordan
Everyone Says I Love You,Music Comedy Romance,Woody Allen
Death Sentence,Action Crime Drama Thriller,James Wan
Everybody's Fine,Drama,Kirk Jones
Superbabies: Baby Geniuses 2,Comedy Family,Bob Clark
The Man,Action Comedy Crime,Les Mayfield
Code Name: The Cleaner,Action Comedy Crime,Les Mayfield
Connie and Carla,Comedy,Michael Lembeck
Sweet Charity,Comedy Drama Music Romance,Bob Fosse
Inherent Vice,Comedy Romance Crime Drama Mystery,Paul Thomas Anderson
Doogal,Family,Frank Passingham
Battle of the Year,Music Drama,Benson Lee
An American Carol,Comedy Fantasy,David Zucker
Machete Kills,Action Crime Thriller,Robert Rodriguez
Willard,Horror,Glen Morgan
Strange Wilderness,Comedy,Fred Wolf
Topsy-Turvy,Comedy Drama Music,Mike Leigh
Little Boy,Comedy Drama War,Alejandro Monteverde
A Dangerous Method,Drama Thriller,David Cronenberg
A Scanner Darkly,Animation Science Fiction Thriller,Richard Linklater
Chasing Mavericks,Drama,Curtis Hanson
Alone in the Dark,Action Fantasy Horror Thriller,Uwe Boll
Bandslam,Comedy Drama Family Music,Todd Graff
Birth,Drama Mystery Thriller,Jonathan Glazer
A Most Violent Year,Crime Drama Thriller,J.C. Chandor
Passchendaele,Drama Romance War History,Paul Gross
Flash of Genius,Drama,Marc Abraham
I'm Not There.,Drama Music,Todd Haynes
The Cold Light of Day,Action Thriller,Mabrouk El Mechri
The Brothers Bloom,Adventure Comedy Drama Romance,Rian Johnson
"Synecdoche, New York",Drama,Charlie Kaufman
もののけ姫,Adventure Fantasy Animation,Hayao Miyazaki
Bon voyage,Comedy Drama Foreign,Jean-Paul Rappeneau
Can't Stop the Music,Comedy Music,Nancy Walker
The Proposition,Action Adventure Crime Drama Thriller,John Hillcoat
My All American,Drama,Angelo Pizzo
Marci X,Comedy,Richard Benjamin
Equilibrium,Action Science Fiction Thriller,Kurt Wimmer
黃石的孩子,Drama War,Roger Spottiswoode
The Yards,Drama Action Thriller Crime,James Gray
The Oogieloves in the Big Balloon Adventure,Family,Matthew Diamond
By the Sea,Drama Romance,Angelina Jolie
Steamboy,Animation Fantasy Science Fiction,Katsuhiro \u014ctomo
The Game of Their Lives,Drama,David Anspaugh
All Good Things,Drama Mystery Thriller Crime Romance,Andrew Jarecki
Rapa Nui,Adventure,Kevin Reynolds
長江七號,Comedy Drama Family Fantasy Science Fiction,Stephen Chow
Les Visiteurs 2 : Les Couloirs du temps,Comedy Fantasy,Jean-Marie Poir\u00e9
Dylan Dog: Dead of Night,Action Comedy Horror Mystery Science Fiction,Kevin Munroe
People I Know,Drama Thriller,Daniel Algrant
The Tempest,Drama Fantasy,Julie Taymor
Regression,Horror Mystery Thriller,Alejandro Amen\u00e1bar
三国之见龙卸甲,Action History Drama,Daniel Lee
Butterfly on a Wheel,Crime Drama Thriller,Mike Barker
Zambezia,Comedy Animation Adventure Family,Wayne Thornley
ராமானுஜன்,Drama History,Gnana Rajasekaran
Dwegons,Animation,Tom Walsh
Hands of Stone,Drama,Jonathan Jakubowicz
Survivor,Thriller,James McTeigue
The Frozen Ground,Thriller Crime,Scott Walker
The Painted Veil,Drama Romance,John Curran
Der Baader Meinhof Komplex,Action Crime Drama History Thriller,Uli Edel
Dances with Wolves,Adventure Drama Western,Kevin Costner
Bad Teacher,Comedy,Jake Kasdan
Sea of Love,Drama Crime Mystery,Harold Becker
A Cinderella Story,Comedy,Mark Rosman
Scream,Crime Horror Mystery,Wes Craven
Thir13en Ghosts,Horror Thriller,Steve Beck
The Shining,Horror Thriller,Stanley Kubrick
Back to the Future,Adventure Comedy Science Fiction Family,Robert Zemeckis
House on Haunted Hill,Horror Mystery Thriller,William Malone
I Can Do Bad All By Myself,Drama Comedy,Tyler Perry
Fight Valley,Action Drama,Rob Hawk
The Switch,Comedy Romance Drama,Josh Gordon
Just Married,Comedy,Shawn Levy
The Devil's Double,Drama Action Thriller Crime War,Lee Tamahori
Thomas and the Magic Railroad,Animation Drama Family Science Fiction,Britt Allcroft
The Crazies,Mystery Horror Action,Breck Eisner
千と千尋の神隠し,Fantasy Adventure Animation Family,Hayao Miyazaki
風暴,Action Crime,Alan Yuen
The Bounty,Action Drama History,Roger Donaldson
The Book Thief,Drama,Brian Percival
Sex Drive,Comedy Adventure Romance,Sean Anders
Leap Year,Romance Comedy,Anand Tucker
The Fall of the Roman Empire,Drama History,Anthony Mann
Take Me Home Tonight,Comedy Drama Romance,Michael Dowse
Won't Back Down,Drama,Daniel Barnz
The Nutcracker,Family Fantasy Music,Emile Ardolino
Kansas City,Thriller Drama Music Crime,Robert Altman
Indignation,Drama,James Schamus
The Amityville Horror,Horror Thriller Drama,Andrew Douglas
Adaptation.,Comedy Crime Drama,Spike Jonze
Land of the Dead,Horror,George A. Romero
逃出生天,Action,Danny Pang
Fear and Loathing in Las Vegas,Adventure Drama Comedy,Terry Gilliam
The Invention of Lying,Comedy Romance Fantasy,Ricky Gervais
Neighbors,Comedy,Nicholas Stoller
The Mask,Romance Comedy Crime Fantasy,Chuck Russell
Big,Fantasy Drama Comedy Romance Family,Penny Marshall
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,Larry Charles
Legally Blonde,Comedy,Robert Luketic
Star Trek III: The Search for Spock,Science Fiction Action Adventure Thriller,Leonard Nimoy
The Exorcism of Emily Rose,Crime Drama Horror Thriller,Scott Derrickson
Deuce Bigalow: Male Gigolo,Comedy,Mike Mitchell
Left Behind,Thriller Action Science Fiction,Vic Armstrong
The Family Stone,Comedy Drama Romance,Thomas Bezucha
Barbershop 2:  Back in Business,Comedy Drama,Kevin Rodney Sullivan
Bad Santa,Drama Comedy Crime,Terry Zwigoff
Austin Powers: International Man of Mystery,Science Fiction Comedy Crime,Jay Roach
My Big Fat Greek Wedding 2,Romance Comedy Family,Kirk Jones
Diary of a Wimpy Kid: Rodrick Rules,Family Comedy,David Bowers
Predator,Science Fiction Action Adventure Thriller,John McTiernan
Amadeus,Drama History Music,Milo\u0161 Forman
Prom Night,Crime Horror,Nelson McCormick
Mean Girls,Comedy,Mark Waters
Under the Tuscan Sun,Comedy Drama Romance,Audrey Wells
Gosford Park,Drama Mystery Thriller,Robert Altman
Peggy Sue Got Married,Comedy Drama Fantasy Romance,Francis Ford Coppola
Birdman,Drama Comedy,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Blue Jasmine,Comedy Drama,Woody Allen
United 93,Drama History Crime Thriller Action,Paul Greengrass
Honey,Romance Music Family,Bille Woodruff
Spy Hard,Action Comedy,Rick Friedberg
The Fog,Horror,John Carpenter
Soul Surfer,Action Drama,Sean McNamara
Catch-22,War Comedy Drama,Mike Nichols
Observe and Report,Comedy Crime Drama,Jody Hill
Conan the Destroyer,Adventure Fantasy Action,Richard Fleischer
Raging Bull,Drama,Martin Scorsese
Love Happens,Drama Romance,Brandon Camp
Young Sherlock Holmes,Action Adventure Crime Drama Family,Barry Levinson
Fame,Music Comedy Drama Romance,Kevin Tancharoen
127 Hours,Adventure Drama Thriller,Danny Boyle
Small Time Crooks,Action Comedy Crime,Woody Allen
Center Stage,Drama Music,Nicholas Hytner
Love the Coopers,Comedy Family,Jessie Nelson
Catch That Kid,Family Action Adventure,Bart Freundlich
Life as a House,Drama,Irwin Winkler
Steve Jobs,Drama History,Danny Boyle
"I Love You, Beth Cooper",Comedy Romance,Chris Columbus
Youth in Revolt,Drama Comedy Romance,Miguel Arteta
The Legend of the Lone Ranger,Action Adventure Romance Western,William A. Fraker
The Tailor of Panama,Drama Thriller,John Boorman
Blow Out,Drama Mystery Thriller,Brian De Palma
Getaway,Action Crime,Courtney Solomon
The Ice Storm,Drama,Ang Lee
And So It Goes,Comedy Drama Romance,Rob Reiner
Troop Beverly Hills,Adventure Comedy Family,Jeff Kanew
Being Julia,Comedy Drama Romance,Istv\u00e1n Szab\u00f3
Nine 1/2 Weeks,Drama Romance,Adrian Lyne
Dragonslayer,Fantasy,Matthew Robbins
The Last Station,Drama Romance,Michael Hoffman
Ed Wood,Comedy Drama History,Tim Burton
Labor Day,Drama,Jason Reitman
Монгол,History,Sergei Bodrov
RockNRolla,Action Crime Thriller,Guy Ritchie
Megaforce,Adventure Action Science Fiction,Hal Needham
Hamlet,Drama,Kenneth Branagh
Mao's Last Dancer,Drama Romance,Bruce Beresford
Midnight Special,Adventure Drama Science Fiction,Jeff Nichols
Anything Else,Comedy Romance,Woody Allen
The Railway Man,Drama History,Jonathan Teplitzky
Das weisse Band,Crime Drama Mystery,Michael Haneke
Restoration,Horror,Zack Ward
The Wraith,Romance Science Fiction Horror Action Crime,Mike Marvin
Salton Sea,Drama Mystery Thriller,D.J. Caruso
Metallica: Through the Never,Music,Nimr\u00f3d Antal
The Informers,Drama,Gregor Jordan
Carlos,Crime Drama Thriller History,Olivier Assayas
I Come with the Rain,Thriller Drama,Tran Anh Hung
One Man's Hero,Western Action Drama History,Lance Hool
Day of the Dead,Horror Science Fiction,George A. Romero
I Am Wrath,Action Crime Drama Thriller,Chuck Russell
Renaissance,Action Animation Science Fiction,Christian Volckman
Red Sonja,Adventure Fantasy Action,Richard Fleischer
Red Lights,Thriller,Rodrigo Cort\u00e9s
Superbad,Comedy,Greg Mottola
Madea Goes to Jail,Comedy Crime Drama,Tyler Perry
Wolves,Horror Action,David Hayter
Step Up 2: The Streets,Music Drama Romance,Jon M. Chu
Hoodwinked!,Animation Comedy Family,Cory Edwards
Hotel Rwanda,Drama History War,Terry George
Hitman,Action Crime Drama Thriller,Xavier Gens
Black Nativity,Drama Music,Kasi Lemmons
The Prince,Thriller Action,Brian A Miller
City of Ghosts,Thriller,Matt Dillon
The Others,Horror Drama Mystery Thriller,Alejandro Amen\u00e1bar
Aliens,Horror Action Thriller Science Fiction,James Cameron
My Fair Lady,Drama Family Music Romance,George Cukor
I Know What You Did Last Summer,Horror Thriller Mystery,Jim Gillespie
Let's Be Cops,Comedy,Luke Greenfield
Sideways,Comedy Drama Romance,Alexander Payne
Beerfest,Comedy,Jay Chandrasekhar
Halloween,Horror Thriller,John Carpenter
Good Boy!,Comedy Family Science Fiction,John Robert Hoffman
The Best Man Holiday,Comedy,Malcolm D. Lee
Smokin' Aces,Action Comedy Crime Thriller,Joe Carnahan
Saw 3D,Horror Crime,Kevin Greutert
40 Days and 40 Nights,Comedy Romance,Michael Lehmann
A Night at the Roxbury,Comedy,John Fortenberry
Beastly,Drama Fantasy Romance,Daniel Barnz
The Hills Have Eyes,Horror Thriller,Alexandre Aja
Dickie Roberts: Former Child Star,Comedy,Sam Weisman
"McFarland, USA",Drama,Niki Caro
Lottery Ticket,Comedy,Erik White
ATL,Drama,Christian Robinson
Pitch Perfect,Comedy Music Romance,Jason Moore
Summer Catch,Drama Comedy Romance,Mike Tollin
A Simple Plan,Drama Crime Thriller,Sam Raimi
They,Horror Thriller,Robert Harmon
Larry the Cable Guy: Health Inspector,Comedy,Trent Cooper
The Adventures of Elmo in Grouchland,Family,Gary Halvorson
Brooklyn's Finest,Crime Drama Thriller,Antoine Fuqua
55 Days at Peking,Action Drama History,Nicholas Ray
Evil Dead,Horror,Fede Alvarez
My Life in Ruins,Comedy Romance,Donald Petrie
American Dreamz,Comedy Drama Family,Paul Weitz
Superman IV: The Quest for Peace,Action Adventure Science Fiction,Sidney J. Furie
How She Move,Drama,Ian Iqbal Rashid
Running Scared,Action Crime Drama Thriller,Wayne Kramer
Bobby Jones: Stroke of Genius,Drama,Rowdy Herrington
Shanghai Surprise,Adventure,Jim Goddard
The Illusionist,Fantasy Drama Thriller Romance,Neil Burger
Roar,Adventure Thriller,Noel Marshall
Veronica Guerin,Drama Crime Thriller,Joel Schumacher
Escobar: Paradise Lost,Thriller Romance,Andrea Di Stefano
Southland Tales,Action Adventure Comedy Drama Science Fiction,Richard Kelly
Chasseurs de dragons,Animation Family,Guillaume Ivernel
Damnation Alley,Action Adventure Science Fiction,Jack Smight
The Apparition,Horror Thriller,Todd Lincoln 
My Girl,Comedy Drama Family,Howard Zieff
Fur: An Imaginary Portrait of Diane Arbus,Drama Mystery Romance,Steven Shainberg
Wall Street,Crime Drama,Oliver Stone
Sense and Sensibility,Drama Romance,Ang Lee
Becoming Jane,Drama Romance,Julian Jarrold
Sydney White,Comedy,Joe Nussbaum
House of Sand and Fog,Drama,Vadim Perelman
Dead Poets Society,Drama,Peter Weir
Dumb and Dumber,Comedy,Bobby Farrelly
When Harry Met Sally...,Comedy Romance Drama,Rob Reiner
The Verdict,Drama,Sidney Lumet
Road Trip,Comedy Adventure,Todd Phillips
Varsity Blues,Comedy Drama Romance,Brian Robbins
The Artist,Drama Comedy Romance,Michel Hazanavicius
The Unborn,Horror Thriller Mystery,David S. Goyer
Moonrise Kingdom,Comedy Drama Romance,Wes Anderson
The Texas Chainsaw Massacre: The Beginning,Horror,Jonathan Liebesman
The Young Messiah,Drama,Cyrus Nowrasteh
The Master of Disguise,Comedy Family,Perry Andelin Blake
El laberinto del fauno,Fantasy Drama War,Guillermo del Toro
See Spot Run,Action Comedy Family,John Whitesell
Baby Boy,Crime Drama Romance,John Singleton
The Roommate,Thriller Drama Horror,Christian E. Christiansen
Joe Dirt,Mystery Adventure Comedy Romance Drama,Dennie Gordon
Double Impact,Thriller Action Crime Drama,Sheldon Lettich
Hot Fuzz,Crime Action Comedy,Edgar Wright
The Women,Comedy Drama Romance,Diane English
Vicky Cristina Barcelona,Drama Romance,Woody Allen
Arn: Tempelriddaren,Action Adventure Drama Romance,Peter Flinth
Boys and Girls,Comedy Drama Romance,Robert Iscove
White Oleander,Drama,Peter Kosminsky
Jennifer's Body,Comedy Horror,Karyn Kusama
Drowning Mona,Comedy Crime Mystery,Nick Gomez
Radio Days,Comedy Drama,Woody Allen
Remember Me,Drama Romance,Allen Coulter
How to Deal,Drama Comedy Romance,Clare Kilner
My Stepmother is an Alien,Comedy Science Fiction,Richard Benjamin
Philadelphia,Drama,Jonathan Demme
The Thirteenth Floor,Thriller Science Fiction Mystery,Josef Rusnak
The Cookout,Comedy Drama,Lance Rivera
Meteor,Action Science Fiction Thriller,Ronald Neame
Duets,Comedy Drama Music,Bruce Paltrow
Hollywood Ending,Comedy Drama,Woody Allen
Detroit Rock City,Comedy Music,Adam Rifkin
Highlander,Adventure Action Fantasy,Russell Mulcahy
Things We Lost in the Fire,Drama,Susanne Bier
Steel,Science Fiction Action Adventure,Kenneth Johnson
The Immigrant,Drama Romance,James Gray
The White Countess,Drama History Family Romance,James Ivory
Trance,Thriller Crime Drama Mystery,Danny Boyle
Soul Plane,Romance Comedy,Jessy Terrero
Bienvenue chez les ch'tis,Comedy,Dany Boon
Good,Drama,Vicente Amorim
Enter the Void,Fantasy Drama,Gaspar No\u00e9
Vamps,Comedy Romance Horror,Amy Heckerling
Hachi: A Dog's Tale,Drama Family,Lasse Hallstr\u00f6m
Zulu,Crime Drama Thriller,J\u00e9r\u00f4me Salle
The Homesman,Western Drama,Tommy Lee Jones
Juwanna Mann,Comedy Drama,Jesse Vaughan
Ararat,War Drama,Atom Egoyan
Madison,Action Adventure Drama,William Bindley
Slow Burn,Mystery Crime Drama Thriller,Wayne Beach
Wasabi,Drama Action Comedy,G\u00e9rard Krawczyk
Slither,Comedy Horror Science Fiction,James Gunn
Beverly Hills Cop,Action Comedy Crime,Martin Brest
Home Alone,Comedy Family,Chris Columbus
Three Men and a Baby,Family Comedy Drama,Leonard Nimoy
Tootsie,Comedy Romance,Sydney Pollack
Top Gun,Action Romance War,Tony Scott
卧虎藏龙,Adventure Drama Action Romance,Ang Lee
American Beauty,Drama,Sam Mendes
The King's Speech,Drama History,Tom Hooper
Twins,Comedy,Ivan Reitman
The Yellow Handkerchief,Drama Romance,Udayan Prasad
The Color Purple,Drama,Steven Spielberg
해운대,Action Adventure Drama Thriller,Yoon Je-kyoon
The Imitation Game,History Drama Thriller War,Morten Tyldum
Private Benjamin,Comedy,Howard Zieff
Coal Miner's Daughter,Drama Music,Michael Apted
Diary of a Wimpy Kid,Comedy Family,Thor Freudenthal
Mama,Horror,Andy Muschietti
National Lampoon's Vacation,Comedy Adventure Romance,Harold Ramis
Jackass Presents: Bad Grandpa,Comedy,Jeff Tremaine
The Queen,Drama,Stephen Frears
Beetlejuice,Fantasy Comedy,Tim Burton
Why Did I Get Married?,Comedy Drama,Tyler Perry
Little Women,Drama Romance,Gillian Armstrong
The Woman in Black,Drama Horror Thriller,James Watkins
When a Stranger Calls,Horror Thriller,Simon West
Big Fat Liar,Comedy Family,Shawn Levy
The Deer Hunter,Drama War,Michael Cimino
Wag the Dog,Comedy Drama,Barry Levinson
The Lizzie McGuire Movie,Family Comedy,Jim Fall
Snitch,Thriller Drama,Ric Roman Waugh
Krampus,Horror Comedy Fantasy,Michael Dougherty
The Faculty,Horror Mystery Science Fiction,Robert Rodriguez
What's Love Got to Do with It,Drama Music,Brian Gibson
Cop Land,Action Crime Drama,James Mangold
Not Another Teen Movie,Comedy,Joel Gallen
End of Watch,Crime Drama Thriller,David Ayer
The Skulls,Crime Drama Thriller,Rob Cohen
The Theory of Everything,Drama Romance,James Marsh
Malibu's Most Wanted,Comedy Crime,John Whitesell
Where the Heart Is,Comedy Drama Romance,Matt Williams
Lawrence of Arabia,Adventure Drama History War,David Lean
Halloween II,Horror,Rob Zombie
Wild,Drama,Jean-Marc Vall\u00e9e
The Last House on the Left,Crime Thriller Horror Drama,Dennis Iliadis
The Wedding Date,Comedy Romance,Clare Kilner
Halloween: Resurrection,Horror Thriller,Rick Rosenthal
The Princess Bride,Adventure Family Fantasy Comedy Romance,Rob Reiner
The Great Debaters,Drama,Denzel Washington
Drive,Drama Action Thriller Crime,Nicolas Winding Refn
Confessions of a Teenage Drama Queen,Comedy,Sara Sugarman
The Object of My Affection,Comedy Drama Romance,Nicholas Hytner
28 Weeks Later,Horror Thriller Science Fiction,Juan Carlos Fresnadillo
When the Game Stands Tall,Drama,Thomas Carter
Because of Winn-Dixie,Comedy Drama Family,Wayne Wang
Love & Basketball,Action Comedy Drama Romance,Gina Prince-Bythewood
Grosse Pointe Blank,Action Comedy Thriller Romance,George Armitage
All About Steve,Comedy,Phil Traill
Book of Shadows: Blair Witch 2,Mystery Thriller Horror,Joe Berlinger
The Craft,Drama Fantasy Horror Thriller,Andrew Fleming
Match Point,Drama Thriller Crime Romance,Woody Allen
Ramona and Beezus,Comedy Family,Elizabeth Allen Rosenbaum
The Remains of the Day,Drama Romance,James Ivory
Boogie Nights,Drama,Paul Thomas Anderson
Nowhere to Run,Action Adventure Drama Thriller,Robert Harmon
Flicka,Drama,Michael Mayer
The Hills Have Eyes II,Horror Thriller,Martin Weisz
Urban Legends: Final Cut,Horror,John Ottman
Tuck Everlasting,Fantasy Drama Science Fiction Romance Family,Jay Russell
The Marine,Action Adventure Drama Thriller,John Bonito
Keanu,Action Comedy,Peter Atencio
Country Strong,Drama Romance,Shana Feste
Disturbing Behavior,Mystery Horror Science Fiction,David Nutter
The Place Beyond the Pines,Drama Crime,Derek Cianfrance
The November Man,Crime Action Thriller,Roger Donaldson
Eye of the Beholder,Drama Mystery Thriller,Stephan Elliott
The Hurt Locker,Drama Thriller War,Kathryn Bigelow
Firestarter,Fantasy Drama Horror Action Thriller,Mark L. Lester
Killing Them Softly,Crime Thriller,Andrew Dominik
A Most Wanted Man,Thriller,Anton Corbijn
Freddy Got Fingered,Comedy,Tom Green
VeggieTales: The Pirates Who Don't Do Anything,Adventure Animation Comedy Science Fiction Family,Mike Nawrocki
U2 3D,Music Documentary,Mark Pellington
Highlander: Endgame,Action Fantasy Science Fiction,Douglas Aarniokoski
Idlewild,Crime Drama Music,Bryan Barber
One Day,Drama Romance,Lone Scherfig
Whip It,Drama,Drew Barrymore
Knockaround Guys,Crime Thriller,Brian Koppelman
Confidence,Action Comedy Thriller Crime,James Foley
The Muse,Fantasy Comedy,Albert Brooks
De-Lovely,Drama Music,Irwin Winkler
New York Stories,Comedy Drama Romance,Francis Ford Coppola
Barney's Great Adventure,Family,Steve Gomer
The Man with the Iron Fists,Action,RZA
Home Fries,Drama Comedy Romance,Dean Parisot
Here On Earth,Romance,Mark Piznarski
Brazil,Comedy Science Fiction,Terry Gilliam
Raise Your Voice,Music Drama Romance,Sean McNamara
The Big Lebowski,Comedy Crime,Joel Coen
Black Snake Moan,Drama,Craig Brewer
Dark Blue,Action Crime Drama Thriller,Ron Shelton
A Mighty Heart,Drama Thriller,Michael Winterbottom
Whatever It Takes,Drama Comedy Romance,David Raynr
Boat Trip,Comedy,Mort Nathan
The Importance of Being Earnest,Comedy Drama History Romance,Oliver Parker
The Love Letter,Comedy Drama Fantasy Romance,Dan Curtis
Hoot,Drama Family,Wil Shriner
In Bruges,Comedy Drama Crime,Martin McDonagh
